,idx,ex_num,bar_num,g_num,RE,true
1,5,5,3,3,0,1
2,10,5,3,2,0,1
3,7,5,3,3,0,2
4,6,5,3,2,0,1
5,15,5,10,1,17.00000000000001,2
6,18,5,5,4,0,1
7,19,5,9,5,0.25,3
8,2,5,9,4,3.375,2
9,3,5,9,3,0.024999999999999287,2
10,16,5,9,5,0.0,3
11,11,5,7,6,0,0
12,4,5,4,3,0,2
13,13,5,3,2,0,2
14,8,5,4,2,0.0,2
15,14,5,4,1,2.888888888888894,1
16,1,5,9,3,58.80000000000002,0
17,17,5,3,2,0,1
18,12,5,9,7,0,2
19,9,5,3,1,20.25,2
20,20,5,5,4,0,2
