,idx,ex_num,bar_num,g_num,RE,true
1,12,1,7,6,0,1
2,6,1,3,3,0,0
3,18,1,9,4,0.5,0
4,20,1,4,4,0,3
5,10,1,3,2,0,3
6,1,1,5,2,9.0,1
7,17,1,5,2,0.25,2
8,2,1,9,6,0.0,3
9,16,1,3,1,4.0,2
10,7,1,4,2,0.0,1
11,11,1,3,2,0,1
12,14,1,6,5,0.0,0
13,15,1,3,1,2.25,1
14,13,1,9,3,3.375,0
15,8,1,9,3,3.2222222222222205,1
16,4,1,10,1,19028.185185185186,1
17,9,1,9,9,0,0
18,3,1,6,4,0.002499999999999716,0
19,19,1,7,7,0,3
20,5,1,8,1,18.28571428571427,0
